form	lemma	POS	morph
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
དངོ་	དངོ་	NOUN
མཁན་ཆེན་	མཁན་ཆེན་	OTHER
མུན་	མུན་	NOUN
སོལ་	སོལ་	VERB
མཆོག་	མཆོག་	ADJ
གི་	གི་	PART
ཟབ་	ཟབ་	VERB
གསུང་	གསུང་	VERB
གཅོས་		NON_WORD
བསྡུ་	བསྡུ་	VERB
དང་	དང་	NO_POS
།		PUNCT
ཉེ་	ཉེ་	NUM
མཁོ་	མཁོ་	NO_POS
ཁག་	ཁག་	NOUN
ཅིག་	ཅིག་	PART
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
མཛད་པ་པོ་	མཛད་པ་པོ་	VERB
།		PUNCT
མཁན་ཆེན་	མཁན་ཆེན་	OTHER
མུན་	མུན་	NOUN
སོལ་	སོལ་	VERB
"།
༈"		PUNCT
ཚེ་རབས་	ཚེ་རབས་	NOUN
རྗེས་འཛིན་	རྗེས་འཛིན་	NOUN
གྱི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
"།
༄༅། །"		PUNCT
ཨེ་མ་ཧོ་	ཨེ་མ་ཧོ་	INTJ
།		PUNCT
བསླབ་	བསླབ་	VERB
གསུམ་	གསུམ་	NUM
རྣམ་དག་	རྣམ་དག་	ADJ
ཚུལ་ཁྲིམས་	ཚུལ་ཁྲིམས་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
འི་	གི་	PART
དབྱིག་	དབྱིག་	NOUN
།		PUNCT
མང་ཐོས་	མང་ཐོས་	NOUN
སྣང་བ་	སྣང་བ་	VERB
ས་	གིས་	PART
རྨོངས་པ་	རྨོངས་པ་	VERB
འི་	གི་	PART
མུན་པ་	མུན་པ་	NOUN
སེལ་	སེལ་	VERB
། །		PUNCT
ཀུན་མཁྱེན་	ཀུན་མཁྱེན་	OTHER
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
སྙིང་	སྙིང་	NOUN
ལ་	ལ་	PART
ཤ་	ཤ་	VERB
། །		PUNCT
ཀ་	ཀ་	DET
ལྷུན་	ལྷུན་	NOUN
